epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3244,2.87549,3.6317,1.80586,0.0305,0.25089,0.04994,0.01312,2.79312,3.65551,1.79366,0.000512923,0.000512923,0.000512923
2,4.76993,2.44826,2.6026,1.42823,0.0334,0.32979,0.05626,0.01276,2.2908,3.36712,1.58036,0.0010633,0.0010633,0.0010633
3,6.22125,2.42852,2.02558,1.39876,0.05355,0.48848,0.17458,0.0525,2.16188,3.00051,1.44716,0.00160818,0.00160818,0.00160818
4,7.69569,2.31061,1.65652,1.41429,0.04328,0.37145,0.12089,0.0365,2.19494,3.1106,1.55574,0.00164225,0.00164225,0.00164225
5,9.14598,2.26527,1.56495,1.41513,0.03867,0.62677,0.15368,0.04071,2.33914,3.13957,1.66961,0.00163399,0.00163399,0.00163399
6,10.5847,2.22327,1.55113,1.40188,0.845,0.29006,0.32924,0.12045,2.12669,1.97712,1.44066,0.00162574,0.00162574,0.00162574
7,12.0798,2.24777,1.50668,1.35343,0.86375,0.32801,0.41662,0.16887,2.01292,1.62461,1.37338,0.00161749,0.00161749,0.00161749
8,13.5557,2.25879,1.52995,1.41372,0.84541,0.29255,0.39054,0.14538,2.07788,1.63046,1.47979,0.00160924,0.00160924,0.00160924
9,15.0202,2.2594,1.48572,1.36429,0.81847,0.41065,0.58863,0.22235,2.02952,1.45543,1.36605,0.00160099,0.00160099,0.00160099
10,16.5016,2.16072,1.40731,1.34301,0.71819,0.51463,0.6145,0.22178,1.93919,1.35248,1.34066,0.00159274,0.00159274,0.00159274
11,17.9854,2.16064,1.41036,1.36791,0.49927,0.60771,0.54142,0.19904,1.96259,1.42405,1.40091,0.00158448,0.00158448,0.00158448
12,19.4422,2.10231,1.31809,1.3332,0.65261,0.65957,0.69485,0.27303,1.91438,1.2639,1.37757,0.00157623,0.00157623,0.00157623
13,20.9205,2.12406,1.31222,1.32149,0.72115,0.66888,0.70944,0.27775,1.93427,1.24089,1.363,0.00156798,0.00156798,0.00156798
14,22.387,2.12044,1.2889,1.32222,0.7503,0.62425,0.71775,0.28928,1.88549,1.22326,1.36047,0.00155973,0.00155973,0.00155973
15,23.888,2.10071,1.26548,1.31498,0.68844,0.69833,0.70591,0.29099,1.93976,1.27028,1.37342,0.00155148,0.00155148,0.00155148
16,25.3567,2.10331,1.27401,1.34557,0.67188,0.57092,0.62512,0.25043,2.04047,1.3349,1.40171,0.00154323,0.00154323,0.00154323
17,26.8089,2.10495,1.25254,1.33651,0.70502,0.69543,0.7275,0.31311,1.91854,1.19461,1.34588,0.00153497,0.00153497,0.00153497
18,28.2772,2.12186,1.24647,1.34111,0.76226,0.67775,0.70575,0.28938,1.90296,1.16153,1.35778,0.00152672,0.00152672,0.00152672
19,29.723,2.09199,1.25801,1.35568,0.67823,0.69179,0.71962,0.29064,1.95583,1.219,1.37949,0.00151847,0.00151847,0.00151847
20,31.1805,2.0793,1.19171,1.32271,0.70998,0.72794,0.76477,0.34092,1.88244,1.11658,1.3208,0.00151022,0.00151022,0.00151022
21,32.6522,2.12949,1.22723,1.31889,0.72718,0.65603,0.69975,0.30113,1.98302,1.17299,1.35077,0.00150197,0.00150197,0.00150197
22,34.1383,2.06165,1.17953,1.31756,0.83378,0.72811,0.80413,0.32372,2.00583,1.17461,1.39095,0.00149372,0.00149372,0.00149372
23,35.6358,2.07866,1.16859,1.30486,0.62768,0.76827,0.7087,0.28945,1.9165,1.16755,1.3813,0.00148546,0.00148546,0.00148546
24,37.1242,2.0766,1.18076,1.3248,0.62185,0.66236,0.71143,0.28361,1.98646,1.25027,1.35286,0.00147721,0.00147721,0.00147721
25,38.5983,2.08544,1.22033,1.35289,0.74273,0.7003,0.7876,0.31271,1.89682,1.12743,1.34355,0.00146896,0.00146896,0.00146896
26,40.0576,2.08973,1.1778,1.30786,0.67816,0.67798,0.70521,0.28148,2.00533,1.25461,1.39029,0.00146071,0.00146071,0.00146071
27,41.533,2.06254,1.17149,1.3083,0.67076,0.69991,0.6969,0.26274,1.97702,1.19246,1.38944,0.00145246,0.00145246,0.00145246
28,43.0008,2.0756,1.17308,1.33401,0.70718,0.75698,0.73861,0.31978,1.858,1.11221,1.35156,0.00144421,0.00144421,0.00144421
29,44.4733,2.05038,1.13643,1.31648,0.79156,0.74508,0.79501,0.31099,1.94813,1.07382,1.36486,0.00143595,0.00143595,0.00143595
30,46.1452,2.07818,1.14328,1.31113,0.78298,0.77066,0.79264,0.31658,1.91434,1.04732,1.3628,0.0014277,0.0014277,0.0014277
31,47.6314,2.06716,1.14248,1.30451,0.72035,0.74778,0.77721,0.30806,1.95655,1.11072,1.39581,0.00141945,0.00141945,0.00141945
32,49.1299,2.02767,1.12077,1.27774,0.76496,0.76312,0.81962,0.3277,1.86267,1.04048,1.3437,0.0014112,0.0014112,0.0014112
33,50.6139,2.03364,1.10915,1.29049,0.82719,0.72962,0.83152,0.33882,1.88337,1.0214,1.34528,0.00140295,0.00140295,0.00140295
34,52.0697,2.02015,1.07317,1.27799,0.88441,0.69238,0.80361,0.32798,1.99717,1.05106,1.37069,0.0013947,0.0013947,0.0013947
35,53.533,2.03486,1.10267,1.29118,0.73316,0.69534,0.7421,0.31152,2.04824,1.17205,1.36553,0.00138644,0.00138644,0.00138644
36,54.9896,2.03596,1.10527,1.29303,0.78512,0.76003,0.81563,0.30603,1.87088,1.08884,1.37074,0.00137819,0.00137819,0.00137819
37,56.4447,2.0259,1.10694,1.28475,0.76303,0.76519,0.84574,0.34185,1.86651,1.05097,1.34112,0.00136994,0.00136994,0.00136994
38,57.9327,2.03989,1.12263,1.3178,0.79636,0.69308,0.79155,0.30686,2.00269,1.11054,1.36176,0.00136169,0.00136169,0.00136169
