epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,52.9562,2.29941,4.88423,0.94131,0.57025,0.43716,0.43773,0.17856,1.88509,3.21565,0.87498,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581
2,101.127,2.11655,3.35957,0.86081,0.62606,0.42236,0.45808,0.20298,1.9281,2.9915,0.88655,0.0198785,0.00662618,0.0198785,0.00662618,0.0198785,0.00662618,0.0198785,0.00662618
3,147.747,2.13154,3.22812,0.86069,0.48882,0.46464,0.46278,0.21107,1.82315,3.1189,0.86821,0.0296807,0.00989355,0.0296807,0.00989355,0.0296807,0.00989355,0.0296807,0.00989355
4,194.275,2.05665,3.05455,0.85613,0.56827,0.45303,0.46951,0.21946,1.77137,2.75945,0.85898,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,240.354,1.98819,2.86582,0.84518,0.65972,0.48857,0.51584,0.25141,1.67359,2.53542,0.85277,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,287.102,1.93233,2.76745,0.83665,0.65343,0.48803,0.51549,0.25381,1.62538,2.54729,0.84709,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,333.652,1.89692,2.68788,0.83155,0.6903,0.52804,0.56579,0.28831,1.59109,2.34032,0.8396,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,380,1.85843,2.6345,0.82889,0.66702,0.50742,0.54866,0.27368,1.60236,2.39119,0.84392,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,426.057,1.83889,2.55497,0.82387,0.63549,0.55825,0.58174,0.29653,1.54937,2.25457,0.83252,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,472.513,1.81096,2.51634,0.82373,0.68309,0.5279,0.56034,0.28165,1.56295,2.2935,0.837,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,518.666,1.80726,2.52165,0.8197,0.6536,0.53921,0.57024,0.29561,1.53908,2.23005,0.82967,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,564.899,1.80631,2.50027,0.8176,0.71155,0.55585,0.59332,0.30342,1.53034,2.19514,0.82982,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,611.043,1.78333,2.45741,0.81578,0.69929,0.5472,0.58597,0.3026,1.52028,2.17912,0.82886,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,657.467,1.76797,2.44599,0.81429,0.70425,0.55027,0.58507,0.3043,1.52847,2.20432,0.82841,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,703.709,1.7637,2.41941,0.81408,0.66933,0.58229,0.60108,0.30739,1.51827,2.15742,0.82852,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,749.917,1.75169,2.40189,0.81371,0.68761,0.58012,0.60739,0.31746,1.50195,2.12876,0.82751,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,796.323,1.74709,2.39493,0.81235,0.69272,0.58884,0.61234,0.31616,1.50707,2.13066,0.82671,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,842.497,1.73056,2.37612,0.81073,0.71755,0.58985,0.61936,0.32465,1.49098,2.11333,0.82326,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,891.26,1.73014,2.35655,0.81009,0.68256,0.57818,0.60005,0.30986,1.50249,2.15323,0.82582,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,939.522,1.7194,2.3497,0.81094,0.68812,0.59354,0.6171,0.31962,1.48924,2.11833,0.8227,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,987.49,1.71897,2.34714,0.80989,0.70685,0.5999,0.62367,0.32681,1.48477,2.07468,0.81983,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1035.2,1.71548,2.34231,0.8093,0.69284,0.58711,0.61268,0.32504,1.48227,2.09377,0.81999,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1081.58,1.69416,2.3093,0.81039,0.67924,0.59643,0.61118,0.32179,1.47735,2.08658,0.82137,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1127.79,1.70406,2.3202,0.80777,0.71112,0.60347,0.63186,0.33421,1.45858,2.0332,0.81906,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1174.82,1.70101,2.31292,0.80628,0.71833,0.59885,0.62582,0.33187,1.45881,2.04885,0.8183,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1220.84,1.69517,2.29795,0.80763,0.70356,0.60794,0.6309,0.33545,1.45557,2.03823,0.81867,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1267.18,1.68301,2.27891,0.80692,0.70639,0.60478,0.63107,0.33421,1.45832,2.03371,0.81773,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1313.59,1.70006,2.29688,0.8025,0.68907,0.60661,0.62613,0.33477,1.44819,2.01999,0.81624,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
